Dimensi,Variabel,R2 Dimensi,R2 IID Desa
Akses perangkat (A),Kepemilikan HP rumah tangga (A1),0.803528,0.501293
Akses perangkat (A),Kecukupan HP (A2),0.606128,0.344945
Akses perangkat (A),Kepemilikan perangkat digital produktif (A3),0.07726,0.178935
Konektivitas internet (B),Akses internet rumah tangga (B1),1,0.620376
Kapasitas manusia (C),Pendidikan terakhir kepala keluarga (C1),0.969805,0.527052
Kapasitas manusia (C),Rasio partisipasi sekolah (C2),0.632811,0.250983
Penggunaan digital (D),Penggunaan media sosial (D1),0.301875,0.072734
Penggunaan digital (D),Akses media informasi (D2),0.243975,0.273092
Penggunaan digital (D),Partisipasi informasi/kebijakan (D3),0.370639,0.072556
Lingkungan pendukung sosial (E),Keterlibatan organisasi kepala keluarga (E1),0.468114,0.146469
Lingkungan pendukung sosial (E),Keterlibatan organisasi anggota keluarga (E2),0.378593,0.026187
Lingkungan pendukung sosial (E),Partisipasi kepala keluarga pada kegiatan masyarakat (E3),0.273335,0.046372
Lingkungan pendukung sosial (E),Partisipasi anggota keluarga pada kegiatan masyarakat (E4),0.304357,0.038404
